Date,Temperature_2m_C,Relative_Humidity_2m_%,Wind_Speed_2m_mps,Solar_Radiation_MJ/m2,daylight_hours
2006-01-01,11.8,44.51,1.2,2.91,9.973761203555556
2006-01-02,14.83,45.22,2.15,2.79,9.98297754208
2006-01-03,14.35,48.32,1.03,3.57,9.992995160426668
2006-01-04,13.51,21.94,1.51,3.55,10.003804694684444
2006-01-05,15.08,20.54,3.29,3.74,10.0153960576
2006-01-06,15.53,14.51,2.79,3.86,10.027758464817778
2006-01-07,15.1,16.57,2.12,3.33,10.040880477795556
2006-01-08,14.31,17.45,1.14,3.87,10.054750077262222
2006-01-09,12.04,14.95,2.95,3.87,10.06935476369778
2006-01-10,13.28,10.39,2.18,3.94,10.084681667804444
2006-01-11,12.4,13.66,1.64,3.87,10.100717643946666
2006-01-12,13.13,16.94,1.23,3.58,10.117449332017777
2006-01-13,14.17,16.82,2.79,3.83,10.134863190648888
2006-01-14,15.08,19.3,2.34,3.06,10.152945516017777
2006-01-15,10.95,44.39,2.29,3.8,10.1716824576
2006-01-16,7.68,30.31,1.57,4.07,10.191060030933333
2006-01-17,7.2,18.54,1.33,3.95,10.211064125333333
2006-01-18,10.39,18.76,1.37,3.61,10.231680506097778
2006-01-19,9.82,31.3,2.47,3.72,10.25289481543111
2006-01-20,8.16,27.44,1.59,4.19,10.274692581511111
2006-01-21,9.1,18.57,2.0,4.26,10.297059227448889
2006-01-22,9.65,17.44,1.93,4.19,10.319980076728887
2006-01-23,12.29,16.87,4.06,4.17,10.34344034919111
2006-01-24,14.63,17.12,3.73,3.66,10.367425149333334
2006-01-25,12.48,38.57,2.7,4.14,10.39191945400889
2006-01-26,11.14,31.24,1.27,3.99,10.416908102826667
2006-01-27,10.47,30.62,2.05,4.29,10.442375799537777
2006-01-28,10.2,31.59,1.43,4.08,10.468307135964444
2006-01-29,11.73,27.23,1.4,3.93,10.494686649706667
2006-01-30,13.36,32.52,1.56,4.31,10.521498917226666
2006-01-31,13.43,33.49,1.55,4.31,10.548728657031111
2006-02-01,12.95,33.19,1.51,4.32,10.576360806755556
2006-02-02,14.04,24.9,1.52,4.43,10.604380549155556
2006-02-03,15.34,24.83,1.64,4.33,10.632773295431111
2006-02-04,15.71,19.67,2.38,4.42,10.661524669511111
2006-02-05,15.97,16.28,1.39,2.79,10.690620528391111
2006-02-06,13.08,16.74,2.75,4.9,10.720047028728889
2006-02-07,16.0,11.42,2.74,4.68,10.749790710080001
2006-02-08,18.54,10.95,3.25,4.6,10.779838555377777
2006-02-09,16.64,25.78,2.22,2.52,10.81017801191111
2006-02-10,15.03,41.14,1.49,5.0,10.84079698144
2006-02-11,13.77,11.98,3.31,5.2,10.871683799217777
2006-02-12,14.68,8.89,2.82,5.19,10.902827215217776
2006-02-13,15.62,11.32,2.05,5.08,10.934216374364443
2006-02-14,15.33,12.11,2.2,4.28,10.965840793777778
2006-02-15,13.62,29.58,3.2,4.95,10.997690336248889
2006-02-16,12.12,25.94,1.13,5.35,11.029755187235555
2006-02-17,12.49,12.06,1.19,1.8,11.062025833991111
2006-02-18,11.73,25.15,1.54,4.9,11.094493039502224
2006-02-19,10.93,35.29,1.5,5.31,11.12714780568889
2006-02-20,11.14,36.09,1.36,5.2,11.159981327786667
2006-02-21,10.81,33.15,1.34,5.07,11.192984946524444
2006-02-22,11.06,20.19,1.21,5.68,11.22615009767111
2006-02-23,12.78,15.42,2.04,5.53,11.259468255964444
2006-02-24,14.57,15.77,1.56,5.69,11.2929308816
2006-02-25,15.64,12.3,1.28,5.5,11.326529393493333
2006-02-26,18.31,12.59,2.32,4.81,11.360255202382222
2006-02-27,18.15,15.56,1.49,4.71,11.39409980999111
2006-02-28,18.66,36.04,1.57,3.48,11.428054935786667
2006-03-01,17.46,57.2,1.16,3.89,11.462112607964443
2006-03-02,16.56,24.4,1.47,6.09,11.496265171164444
2006-03-03,15.58,17.72,2.21,6.2,11.530505222862221
2006-03-04,14.22,31.14,1.38,4.97,11.564825535537778
2006-03-05,16.63,21.52,1.62,5.38,11.599219028302223
2006-03-06,17.89,12.76,1.84,3.82,11.633678805297778
2006-03-07,17.28,28.83,2.42,5.64,11.668198230648889
2006-03-08,11.93,44.7,2.82,5.31,11.702770990613333
2006-03-09,11.92,30.59,2.26,4.54,11.737391112462221
2006-03-10,11.52,46.89,3.39,5.32,11.772052948586667
2006-03-11,6.34,83.05,2.57,1.74,11.806751142542222
2006-03-12,6.8,62.18,1.99,5.75,11.841480596017776
2006-03-13,8.36,42.85,1.1,6.21,11.87623643808
2006-03-14,12.52,34.94,2.13,5.99,11.911013996266668
2006-03-15,15.29,33.37,1.68,6.58,11.945808770062223
2006-03-16,15.68,31.8,1.33,4.48,11.980616408782222
2006-03-17,15.68,35.4,1.96,6.19,12.015432687395554
2006-03-18,12.41,45.62,2.9,6.2,12.050253471146668
2006-03-19,7.39,64.41,1.52,3.92,12.085074664426667
2006-03-20,9.62,53.89,1.44,4.76,12.119892151502222
2006-03-21,10.53,51.06,2.65,4.64,12.154701735751113
2006-03-22,11.04,40.95,1.17,6.89,12.189499078186667
2006-03-23,15.62,35.29,2.0,6.31,12.224279630115555
2006-03-24,17.77,27.22,2.51,6.32,12.259038566506666
2006-03-25,18.26,28.97,2.18,6.84,12.293770750364445
2006-03-26,18.65,36.89,1.26,6.0,12.328470765013334
2006-03-27,19.55,37.33,1.27,4.57,12.363133020657777
2006-03-28,17.77,46.28,1.8,3.89,12.397751894613332
2006-03-29,15.62,48.31,3.35,5.57,12.432321830186668
2006-03-30,14.71,42.17,0.97,5.45,12.466837341866666
2006-03-31,17.0,40.82,2.2,4.4,12.501292932551111
2006-04-01,16.47,45.66,2.0,7.13,12.535682989937778
2006-04-02,18.17,29.7,1.1,6.96,12.570001734293333
2006-04-03,20.94,28.86,1.51,6.59,12.604243248426666
2006-04-04,20.42,36.31,1.95,4.37,12.638401564302221
2006-04-05,16.84,42.68,4.02,5.7,12.672470749511112
2006-04-06,14.13,40.27,1.39,7.6,12.706444953955554
2006-04-07,17.08,29.45,1.48,7.41,12.740318411733334
2006-04-08,20.28,25.57,1.55,7.76,12.774085416
2006-04-09,20.45,26.61,1.62,7.01,12.807740288
2006-04-10,17.82,35.87,1.96,5.42,12.84127734904889
2006-04-11,18.17,36.47,1.5,7.69,12.874690898915556
2006-04-12,21.87,25.74,1.93,7.88,12.907975198151112
2006-04-13,24.75,19.62,1.85,7.12,12.941124455217778
2006-04-14,24.01,25.18,3.95,4.74,12.974132807715556
2006-04-15,18.48,38.59,1.5,7.69,13.006994289706666
2006-04-16,20.32,28.52,1.64,7.79,13.039702777777778
2006-04-17,19.09,28.16,2.76,7.93,13.072251921813333
2006-04-18,19.42,20.34,1.54,8.06,13.104635072035556
2006-04-19,20.16,17.67,2.21,8.06,13.136845210737778
2006-04-20,22.12,16.21,1.3,8.09,13.168874892444446
2006-04-21,22.81,17.31,1.63,6.15,13.20071620128
2006-04-22,22.77,21.06,2.95,8.02,13.232360743182223
2006-04-23,17.71,31.12,2.47,8.04,13.263799697422224
2006-04-24,18.76,23.83,1.44,8.07,13.295023926293332
2006-04-25,21.3,18.04,1.49,7.99,13.326024106204445
2006-04-26,21.81,19.84,2.61,8.12,13.35679081831111
2006-04-27,17.19,35.48,2.47,7.07,13.38731455047111
2006-04-28,15.1,50.47,1.59,6.39,13.417585615004443
2006-04-29,21.4,34.92,1.48,8.1,13.447594039573334
2006-04-30,25.76,21.84,1.67,8.14,13.477329505884445
2006-05-01,27.66,17.35,1.75,8.15,13.506781373084443
2006-05-02,27.37,12.79,2.02,7.41,13.535938773546667
2006-05-03,25.89,15.13,2.29,7.36,13.564790725724446
2006-05-04,24.01,19.1,2.94,8.31,13.59332621656889
2006-05-05,22.32,25.53,2.25,8.37,13.621534234702223
2006-05-06,24.04,23.69,1.53,8.27,13.649403769564445
2006-05-07,24.62,19.99,1.97,8.32,13.676923798613334
2006-05-08,25.95,16.88,2.1,8.32,13.70408327736889
2006-05-09,25.47,14.61,1.83,8.47,13.730871135253334
2006-05-10,27.44,15.62,1.35,8.45,13.757276275946667
2006-05-11,27.85,10.58,2.22,7.6,13.783287580088889
2006-05-12,28.77,11.16,1.77,7.54,13.80889390609778
2006-05-13,28.81,12.37,1.93,8.37,13.834084076302222
2006-05-14,29.85,8.98,1.62,8.49,13.858846837937778
2006-05-15,29.95,13.01,2.35,5.57,13.883170795022222
2006-05-16,28.08,32.6,3.52,7.48,13.90704432864
2006-05-17,31.75,20.68,2.47,7.99,13.930455531875555
2006-05-18,31.1,15.07,2.12,8.35,13.953392185635556
2006-05-19,30.93,15.29,2.33,8.52,13.975841786773334
2006-05-20,30.96,14.23,1.69,8.59,13.99779162520889
2006-05-21,30.89,13.91,2.74,8.38,14.019228897884444
2006-05-22,23.0,28.28,3.61,6.44,14.040140840213333
2006-05-23,24.68,20.91,1.75,8.62,14.0605148448
2006-05-24,29.17,13.93,1.59,8.82,14.080338534968888
2006-05-25,30.44,10.77,1.78,8.79,14.099599767253332
2006-05-26,28.84,11.86,2.68,8.86,14.118286568675556
2006-05-27,25.84,21.19,3.72,8.54,14.136387048675555
2006-05-28,23.91,18.44,2.27,9.05,14.153889346986666
2006-05-29,25.37,8.36,1.72,9.02,14.170781654648888
2006-05-30,26.94,8.0,1.56,8.98,14.187052309724445
2006-05-31,29.28,6.83,1.71,9.09,14.2026899232
2006-06-01,31.29,6.03,1.98,9.01,14.217683488213334
2006-06-02,33.86,13.46,2.02,8.45,14.232022446648887
2006-06-03,34.38,15.53,1.59,8.27,14.245696719964446
2006-06-04,34.91,10.83,2.52,8.53,14.25869672224
2006-06-05,33.79,16.49,2.78,8.31,14.271013371555556
2006-06-06,33.59,21.67,2.34,6.71,14.28263809991111
2006-06-07,33.15,29.88,2.67,7.61,14.293562859768889
2006-06-08,32.34,28.33,2.6,8.25,14.303780131662222
2006-06-09,31.92,15.7,2.64,8.85,14.31328293312
2006-06-10,30.67,11.85,1.84,9.08,14.322064817493333
2006-06-11,30.56,10.79,2.24,9.22,14.330119842275556
2006-06-12,30.9,8.57,2.3,8.93,14.337442491342221
2006-06-13,34.02,10.48,1.86,8.49,14.344027570702222
2006-06-14,32.87,11.4,2.61,9.01,14.349870125653334
2006-06-15,30.38,11.21,3.14,8.78,14.354965434311111
2006-06-16,30.36,13.66,1.9,8.91,14.359309098062221
2006-06-17,31.82,12.17,2.15,8.88,14.362897201777777
2006-06-18,33.41,14.1,1.87,8.84,14.365726488711111
2006-06-19,34.52,15.87,2.01,8.74,14.367794493546667
2006-06-20,33.37,14.33,1.88,8.9,14.369099608142221
2006-06-21,33.45,12.86,1.81,8.88,14.369641076195554
2006-06-22,33.68,13.77,1.88,8.65,14.369418932942223
2006-06-23,33.58,14.22,1.94,6.69,14.36843390926222
2006-06-24,34.58,20.63,1.9,6.04,14.36668732775111
2006-06-25,35.51,25.09,2.66,6.33,14.364181023111112
2006-06-26,33.85,25.33,2.12,6.86,14.360917312355555
2006-06-27,34.11,28.94,2.22,7.82,14.356899019057778
2006-06-28,33.95,25.46,1.69,7.75,14.352129529386668
2006-06-29,34.8,24.62,1.38,6.95,14.3466128464
2006-06-30,33.25,27.95,1.74,7.47,14.340353621191111
2006-07-01,34.42,31.37,1.74,7.48,14.333357156515556
2006-07-02,33.29,34.43,2.0,5.92,14.325629392568889
2006-07-03,33.67,33.33,2.81,6.86,14.317176883946667
2006-07-04,33.06,31.83,2.68,6.87,14.30800676519111
2006-07-05,30.62,44.34,1.48,3.72,14.298126709724444
2006-07-06,33.04,36.91,1.9,6.89,14.287544886933334
2006-07-07,32.27,38.42,2.1,4.67,14.276269927004444
2006-07-08,32.94,38.9,1.35,8.17,14.26431088448
2006-07-09,35.18,29.06,1.78,8.2,14.251677172515556
2006-07-10,34.59,23.18,1.9,8.28,14.238378449422223
2006-07-11,35.51,20.05,1.76,8.42,14.224424467875556
2006-07-12,35.79,25.34,2.23,8.24,14.20982494791111
2006-07-13,37.69,24.08,2.52,8.18,14.194589543217777
2006-07-14,37.56,20.07,1.91,8.15,14.178727939413333
2006-07-15,37.35,24.16,1.16,7.22,14.162250049137777
2006-07-16,35.65,29.57,1.36,7.85,14.145166217315555
2006-07-17,33.0,37.49,2.05,7.13,14.127487349333332
2006-07-18,36.67,26.35,1.59,7.91,14.109224921884444
2006-07-19,35.99,28.04,1.93,7.76,14.09039089358222
2006-07-20,36.17,30.51,2.38,6.29,14.070997572124444
2006-07-21,38.08,24.11,2.09,7.92,14.051057481315555
2006-07-22,38.18,23.18,3.24,7.06,14.030583252835555
2006-07-23,37.74,26.86,2.17,7.02,14.009587546524445
2006-07-24,37.42,25.6,1.76,7.26,13.988082996693334
2006-07-25,34.76,41.31,2.32,6.73,13.96608218695111
2006-07-26,29.83,59.76,1.82,7.46,13.943597650773334
